,year,city,month,overnight_stays,bezirk,nr
0,2007,Innsbruck,1,91984,I,101
1,2007,Innsbruck,2,96445,I,101
2,2007,Innsbruck,3,88928,I,101
3,2007,Innsbruck,4,85113,I,101
4,2007,Innsbruck,5,101850,I,101
5,2007,Innsbruck,6,111495,I,101
6,2007,Innsbruck,7,147627,I,101
7,2007,Innsbruck,8,160675,I,101
8,2007,Innsbruck,9,115943,I,101
9,2007,Innsbruck,10,92652,I,101
10,2007,Innsbruck,11,75022,I,101
11,2007,Innsbruck,12,105437,I,101
12,2007,Arzl im Pitztal,1,12900,IM,201
13,2007,Arzl im Pitztal,2,18956,IM,201
14,2007,Arzl im Pitztal,3,11009,IM,201
15,2007,Arzl im Pitztal,4,8297,IM,201
16,2007,Arzl im Pitztal,5,6065,IM,201
17,2007,Arzl im Pitztal,6,10087,IM,201
18,2007,Arzl im Pitztal,7,17471,IM,201
19,2007,Arzl im Pitztal,8,18328,IM,201
20,2007,Arzl im Pitztal,9,10501,IM,201
21,2007,Arzl im Pitztal,10,6560,IM,201
22,2007,Arzl im Pitztal,11,455,IM,201
23,2007,Arzl im Pitztal,12,8925,IM,201
24,2007,Haiming,1,7249,IM,202
25,2007,Haiming,2,9736,IM,202
26,2007,Haiming,3,7869,IM,202
27,2007,Haiming,4,4664,IM,202
28,2007,Haiming,5,4779,IM,202
29,2007,Haiming,6,7341,IM,202
30,2007,Haiming,7,15928,IM,202
31,2007,Haiming,8,14557,IM,202
32,2007,Haiming,9,5951,IM,202
33,2007,Haiming,10,2155,IM,202
34,2007,Haiming,11,1304,IM,202
35,2007,Haiming,12,6014,IM,202
36,2007,Imst,1,21274,IM,203
37,2007,Imst,2,25564,IM,203
38,2007,Imst,3,13881,IM,203
39,2007,Imst,4,10329,IM,203
40,2007,Imst,5,15069,IM,203
41,2007,Imst,6,20809,IM,203
42,2007,Imst,7,33040,IM,203
43,2007,Imst,8,31769,IM,203
44,2007,Imst,9,20195,IM,203
45,2007,Imst,10,15313,IM,203
46,2007,Imst,11,5378,IM,203
47,2007,Imst,12,16808,IM,203
48,2007,Imsterberg,1,748,IM,204
49,2007,Imsterberg,2,1355,IM,204
50,2007,Imsterberg,3,332,IM,204
51,2007,Imsterberg,4,515,IM,204
52,2007,Imsterberg,5,231,IM,204
53,2007,Imsterberg,6,804,IM,204
54,2007,Imsterberg,7,1334,IM,204
55,2007,Imsterberg,8,1223,IM,204
56,2007,Imsterberg,9,573,IM,204
57,2007,Imsterberg,10,75,IM,204
58,2007,Imsterberg,11,146,IM,204
59,2007,Imsterberg,12,281,IM,204
60,2007,Jerzens,1,35225,IM,205
61,2007,Jerzens,2,45429,IM,205
62,2007,Jerzens,3,32166,IM,205
63,2007,Jerzens,4,19339,IM,205
64,2007,Jerzens,5,2790,IM,205
65,2007,Jerzens,6,11246,IM,205
66,2007,Jerzens,7,30280,IM,205
67,2007,Jerzens,8,27714,IM,205
68,2007,Jerzens,9,16585,IM,205
69,2007,Jerzens,10,11242,IM,205
70,2007,Jerzens,11,3525,IM,205
71,2007,Jerzens,12,23858,IM,205
72,2007,Karres,1,229,IM,206
73,2007,Karres,2,477,IM,206
74,2007,Karres,3,170,IM,206
75,2007,Karres,4,174,IM,206
76,2007,Karres,5,359,IM,206
77,2007,Karres,6,486,IM,206
78,2007,Karres,7,486,IM,206
79,2007,Karres,8,488,IM,206
80,2007,Karres,9,316,IM,206
81,2007,Karres,10,8,IM,206
82,2007,Karres,11,43,IM,206
83,2007,Karres,12,250,IM,206
84,2007,Karrösten,1,2592,IM,207
85,2007,Karrösten,2,3651,IM,207
86,2007,Karrösten,3,1758,IM,207
87,2007,Karrösten,4,809,IM,207
88,2007,Karrösten,5,1712,IM,207
89,2007,Karrösten,6,1886,IM,207
90,2007,Karrösten,7,2830,IM,207
91,2007,Karrösten,8,3435,IM,207
92,2007,Karrösten,9,3035,IM,207
93,2007,Karrösten,10,1627,IM,207
94,2007,Karrösten,11,704,IM,207
95,2007,Karrösten,12,2173,IM,207
96,2007,Längenfeld,1,73755,IM,208
97,2007,Längenfeld,2,90217,IM,208
98,2007,Längenfeld,3,82940,IM,208
99,2007,Längenfeld,4,47322,IM,208
100,2007,Längenfeld,5,19321,IM,208
101,2007,Längenfeld,6,30395,IM,208
102,2007,Längenfeld,7,68542,IM,208
103,2007,Längenfeld,8,70857,IM,208
104,2007,Längenfeld,9,35139,IM,208
105,2007,Längenfeld,10,25591,IM,208
106,2007,Längenfeld,11,17737,IM,208
107,2007,Längenfeld,12,54435,IM,208
108,2007,Mieming,1,8941,IM,209
109,2007,Mieming,2,9879,IM,209
110,2007,Mieming,3,7332,IM,209
111,2007,Mieming,4,9275,IM,209
112,2007,Mieming,5,9529,IM,209
113,2007,Mieming,6,11190,IM,209
114,2007,Mieming,7,15985,IM,209
115,2007,Mieming,8,15812,IM,209
116,2007,Mieming,9,13108,IM,209
117,2007,Mieming,10,11469,IM,209
118,2007,Mieming,11,6684,IM,209
119,2007,Mieming,12,9648,IM,209
120,2007,Mils bei Imst,1,443,IM,210
121,2007,Mils bei Imst,2,586,IM,210
122,2007,Mils bei Imst,3,476,IM,210
123,2007,Mils bei Imst,4,414,IM,210
124,2007,Mils bei Imst,5,275,IM,210
125,2007,Mils bei Imst,6,491,IM,210
126,2007,Mils bei Imst,7,653,IM,210
127,2007,Mils bei Imst,8,546,IM,210
128,2007,Mils bei Imst,9,514,IM,210
129,2007,Mils bei Imst,10,418,IM,210
130,2007,Mils bei Imst,11,369,IM,210
131,2007,Mils bei Imst,12,549,IM,210
132,2007,Mötz,1,41,IM,211
133,2007,Mötz,2,154,IM,211
134,2007,Mötz,3,6,IM,211
135,2007,Mötz,4,60,IM,211
136,2007,Mötz,5,53,IM,211
137,2007,Mötz,6,94,IM,211
138,2007,Mötz,7,161,IM,211
139,2007,Mötz,8,211,IM,211
140,2007,Mötz,9,84,IM,211
141,2007,Mötz,10,59,IM,211
142,2007,Mötz,11,26,IM,211
143,2007,Mötz,12,27,IM,211
144,2007,Nassereith,1,2295,IM,212
145,2007,Nassereith,2,4229,IM,212
146,2007,Nassereith,3,1252,IM,212
147,2007,Nassereith,4,1477,IM,212
148,2007,Nassereith,5,4549,IM,212
149,2007,Nassereith,6,7629,IM,212
150,2007,Nassereith,7,16908,IM,212
151,2007,Nassereith,8,13113,IM,212
152,2007,Nassereith,9,7306,IM,212
153,2007,Nassereith,10,3070,IM,212
154,2007,Nassereith,11,382,IM,212
155,2007,Nassereith,12,2092,IM,212
156,2007,Obsteig,1,11087,IM,213
157,2007,Obsteig,2,14169,IM,213
158,2007,Obsteig,3,4793,IM,213
159,2007,Obsteig,4,4032,IM,213
160,2007,Obsteig,5,7728,IM,213
161,2007,Obsteig,6,13417,IM,213
162,2007,Obsteig,7,17528,IM,213
163,2007,Obsteig,8,21052,IM,213
164,2007,Obsteig,9,18255,IM,213
165,2007,Obsteig,10,13146,IM,213
166,2007,Obsteig,11,3985,IM,213
167,2007,Obsteig,12,11872,IM,213
168,2007,Oetz,1,26035,IM,214
169,2007,Oetz,2,38678,IM,214
170,2007,Oetz,3,26108,IM,214
171,2007,Oetz,4,15537,IM,214
172,2007,Oetz,5,7029,IM,214
173,2007,Oetz,6,16266,IM,214
174,2007,Oetz,7,29205,IM,214
175,2007,Oetz,8,30350,IM,214
176,2007,Oetz,9,17811,IM,214
177,2007,Oetz,10,8961,IM,214
178,2007,Oetz,11,525,IM,214
179,2007,Oetz,12,17070,IM,214
180,2007,Rietz,1,167,IM,215
181,2007,Rietz,2,620,IM,215
182,2007,Rietz,3,392,IM,215
183,2007,Rietz,4,445,IM,215
184,2007,Rietz,5,437,IM,215
185,2007,Rietz,6,448,IM,215
186,2007,Rietz,7,784,IM,215
187,2007,Rietz,8,733,IM,215
188,2007,Rietz,9,944,IM,215
189,2007,Rietz,10,1091,IM,215
190,2007,Rietz,11,193,IM,215
191,2007,Rietz,12,482,IM,215
192,2007,Roppen,1,657,IM,216
193,2007,Roppen,2,1559,IM,216
194,2007,Roppen,3,1014,IM,216
195,2007,Roppen,4,707,IM,216
196,2007,Roppen,5,869,IM,216
197,2007,Roppen,6,1621,IM,216
198,2007,Roppen,7,2168,IM,216
199,2007,Roppen,8,1337,IM,216
200,2007,Roppen,9,1330,IM,216
201,2007,Roppen,10,374,IM,216
202,2007,Roppen,11,166,IM,216
203,2007,Roppen,12,696,IM,216
204,2007,St.Leonhard/Pitztal,1,55381,IM,217
205,2007,St.Leonhard/Pitztal,2,70713,IM,217
206,2007,St.Leonhard/Pitztal,3,60687,IM,217
207,2007,St.Leonhard/Pitztal,4,53475,IM,217
208,2007,St.Leonhard/Pitztal,5,7456,IM,217
209,2007,St.Leonhard/Pitztal,6,5362,IM,217
210,2007,St.Leonhard/Pitztal,7,41606,IM,217
211,2007,St.Leonhard/Pitztal,8,44647,IM,217
212,2007,St.Leonhard/Pitztal,9,21965,IM,217
213,2007,St.Leonhard/Pitztal,10,31115,IM,217
