,year,city,month,overnight_stays,bezirk,nr
0,2000,Innsbruck,1,75874,I,101
1,2000,Innsbruck,2,86463,I,101
2,2000,Innsbruck,3,85461,I,101
3,2000,Innsbruck,4,78124,I,101
4,2000,Innsbruck,5,99989,I,101
5,2000,Innsbruck,6,124918,I,101
6,2000,Innsbruck,7,143894,I,101
7,2000,Innsbruck,8,152698,I,101
8,2000,Innsbruck,9,123338,I,101
9,2000,Innsbruck,10,85619,I,101
10,2000,Innsbruck,11,49708,I,101
11,2000,Innsbruck,12,90860,I,101
12,2000,Arzl im Pitztal,1,14613,IM,201
13,2000,Arzl im Pitztal,2,15512,IM,201
14,2000,Arzl im Pitztal,3,16765,IM,201
15,2000,Arzl im Pitztal,4,8471,IM,201
16,2000,Arzl im Pitztal,5,5148,IM,201
17,2000,Arzl im Pitztal,6,15103,IM,201
18,2000,Arzl im Pitztal,7,18431,IM,201
19,2000,Arzl im Pitztal,8,19613,IM,201
20,2000,Arzl im Pitztal,9,11839,IM,201
21,2000,Arzl im Pitztal,10,5702,IM,201
22,2000,Arzl im Pitztal,11,1484,IM,201
23,2000,Arzl im Pitztal,12,8903,IM,201
24,2000,Haiming,1,6666,IM,202
25,2000,Haiming,2,8139,IM,202
26,2000,Haiming,3,7772,IM,202
27,2000,Haiming,4,3994,IM,202
28,2000,Haiming,5,3731,IM,202
29,2000,Haiming,6,6937,IM,202
30,2000,Haiming,7,15394,IM,202
31,2000,Haiming,8,12829,IM,202
32,2000,Haiming,9,6239,IM,202
33,2000,Haiming,10,2188,IM,202
34,2000,Haiming,11,523,IM,202
35,2000,Haiming,12,5295,IM,202
36,2000,Imst,1,17073,IM,203
37,2000,Imst,2,19034,IM,203
38,2000,Imst,3,11945,IM,203
39,2000,Imst,4,7668,IM,203
40,2000,Imst,5,11477,IM,203
41,2000,Imst,6,17377,IM,203
42,2000,Imst,7,30537,IM,203
43,2000,Imst,8,27504,IM,203
44,2000,Imst,9,15846,IM,203
45,2000,Imst,10,9423,IM,203
46,2000,Imst,11,4630,IM,203
47,2000,Imst,12,13260,IM,203
48,2000,Imsterberg,1,695,IM,204
49,2000,Imsterberg,2,532,IM,204
50,2000,Imsterberg,3,1117,IM,204
51,2000,Imsterberg,4,784,IM,204
52,2000,Imsterberg,5,427,IM,204
53,2000,Imsterberg,6,1029,IM,204
54,2000,Imsterberg,7,1938,IM,204
55,2000,Imsterberg,8,1888,IM,204
56,2000,Imsterberg,9,626,IM,204
57,2000,Imsterberg,10,602,IM,204
58,2000,Imsterberg,11,333,IM,204
