,year,city,month,overnight_stays,bezirk,nr
0,2005,Innsbruck,1,105139,I,101
1,2005,Innsbruck,2,94329,I,101
2,2005,Innsbruck,3,91937,I,101
3,2005,Innsbruck,4,77521,I,101
4,2005,Innsbruck,5,98906,I,101
5,2005,Innsbruck,6,101892,I,101
6,2005,Innsbruck,7,145066,I,101
7,2005,Innsbruck,8,151076,I,101
8,2005,Innsbruck,9,101771,I,101
9,2005,Innsbruck,10,82445,I,101
10,2005,Innsbruck,11,60491,I,101
11,2005,Innsbruck,12,93559,I,101
12,2005,Arzl im Pitztal,1,15415,IM,201
13,2005,Arzl im Pitztal,2,20413,IM,201
14,2005,Arzl im Pitztal,3,18430,IM,201
15,2005,Arzl im Pitztal,4,2595,IM,201
16,2005,Arzl im Pitztal,5,6595,IM,201
17,2005,Arzl im Pitztal,6,8965,IM,201
18,2005,Arzl im Pitztal,7,17127,IM,201
19,2005,Arzl im Pitztal,8,19692,IM,201
20,2005,Arzl im Pitztal,9,10458,IM,201
21,2005,Arzl im Pitztal,10,6223,IM,201
22,2005,Arzl im Pitztal,11,519,IM,201
23,2005,Arzl im Pitztal,12,7253,IM,201
24,2005,Haiming,1,10158,IM,202
25,2005,Haiming,2,11423,IM,202
26,2005,Haiming,3,11554,IM,202
27,2005,Haiming,4,2346,IM,202
28,2005,Haiming,5,3953,IM,202
29,2005,Haiming,6,6345,IM,202
30,2005,Haiming,7,16015,IM,202
31,2005,Haiming,8,14842,IM,202
32,2005,Haiming,9,6148,IM,202
33,2005,Haiming,10,3469,IM,202
34,2005,Haiming,11,1161,IM,202
35,2005,Haiming,12,5037,IM,202
36,2005,Imst,1,20777,IM,203
37,2005,Imst,2,24465,IM,203
38,2005,Imst,3,16426,IM,203
39,2005,Imst,4,4320,IM,203
40,2005,Imst,5,13807,IM,203
41,2005,Imst,6,16210,IM,203
42,2005,Imst,7,25548,IM,203
43,2005,Imst,8,29324,IM,203
44,2005,Imst,9,17812,IM,203
45,2005,Imst,10,17438,IM,203
46,2005,Imst,11,4398,IM,203
47,2005,Imst,12,15033,IM,203
48,2005,Imsterberg,1,1231,IM,204
49,2005,Imsterberg,2,1380,IM,204
50,2005,Imsterberg,3,836,IM,204
51,2005,Imsterberg,4,176,IM,204
52,2005,Imsterberg,5,961,IM,204
53,2005,Imsterberg,6,654,IM,204
54,2005,Imsterberg,7,1525,IM,204
55,2005,Imsterberg,8,2034,IM,204
56,2005,Imsterberg,9,821,IM,204
57,2005,Imsterberg,10,484,IM,204
58,2005,Imsterberg,11,235,IM,204
59,2005,Imsterberg,12,749,IM,204
60,2005,Jerzens,1,40712,IM,205
61,2005,Jerzens,2,47938,IM,205
62,2005,Jerzens,3,46753,IM,205
63,2005,Jerzens,4,8350,IM,205
64,2005,Jerzens,5,2617,IM,205
65,2005,Jerzens,6,6868,IM,205
66,2005,Jerzens,7,20695,IM,205
67,2005,Jerzens,8,19240,IM,205
