,year,city,month,overnight_stays,bezirk,nr
0,2004,Innsbruck,1,90837,I,101
1,2004,Innsbruck,2,93608,I,101
2,2004,Innsbruck,3,86409,I,101
3,2004,Innsbruck,4,80065,I,101
4,2004,Innsbruck,5,93337,I,101
5,2004,Innsbruck,6,104030,I,101
6,2004,Innsbruck,7,135361,I,101
7,2004,Innsbruck,8,143109,I,101
8,2004,Innsbruck,9,108172,I,101
9,2004,Innsbruck,10,86159,I,101
10,2004,Innsbruck,11,62020,I,101
11,2004,Innsbruck,12,88682,I,101
12,2004,Arzl im Pitztal,1,13997,IM,201
13,2004,Arzl im Pitztal,2,21365,IM,201
14,2004,Arzl im Pitztal,3,10681,IM,201
15,2004,Arzl im Pitztal,4,9192,IM,201
16,2004,Arzl im Pitztal,5,5132,IM,201
17,2004,Arzl im Pitztal,6,9958,IM,201
18,2004,Arzl im Pitztal,7,17983,IM,201
19,2004,Arzl im Pitztal,8,18821,IM,201
20,2004,Arzl im Pitztal,9,10820,IM,201
21,2004,Arzl im Pitztal,10,4866,IM,201
22,2004,Arzl im Pitztal,11,702,IM,201
23,2004,Arzl im Pitztal,12,8223,IM,201
24,2004,Haiming,1,8567,IM,202
25,2004,Haiming,2,11983,IM,202
26,2004,Haiming,3,8639,IM,202
27,2004,Haiming,4,6431,IM,202
28,2004,Haiming,5,4196,IM,202
29,2004,Haiming,6,7092,IM,202
30,2004,Haiming,7,14573,IM,202
31,2004,Haiming,8,13170,IM,202
32,2004,Haiming,9,4937,IM,202
33,2004,Haiming,10,3723,IM,202
34,2004,Haiming,11,869,IM,202
35,2004,Haiming,12,5215,IM,202
36,2004,Imst,1,17436,IM,203
37,2004,Imst,2,25195,IM,203
38,2004,Imst,3,13366,IM,203
39,2004,Imst,4,8537,IM,203
40,2004,Imst,5,13167,IM,203
41,2004,Imst,6,16322,IM,203
42,2004,Imst,7,31907,IM,203
43,2004,Imst,8,27551,IM,203
44,2004,Imst,9,16399,IM,203
45,2004,Imst,10,17552,IM,203
46,2004,Imst,11,4334,IM,203
47,2004,Imst,12,13076,IM,203
48,2004,Imsterberg,1,792,IM,204
49,2004,Imsterberg,2,1463,IM,204
50,2004,Imsterberg,3,966,IM,204
51,2004,Imsterberg,4,878,IM,204
52,2004,Imsterberg,5,996,IM,204
53,2004,Imsterberg,6,1047,IM,204
54,2004,Imsterberg,7,2407,IM,204
55,2004,Imsterberg,8,2340,IM,204
56,2004,Imsterberg,9,1435,IM,204
57,2004,Imsterberg,10,425,IM,204
58,2004,Imsterberg,11,259,IM,204
59,2004,Imsterberg,12,493,IM,204
60,2004,Jerzens,1,38826,IM,205
61,2004,Jerzens,2,47407,IM,205
62,2004,Jerzens,3,35141,IM,205
63,2004,Jerzens,4,23892,IM,205
64,2004,Jerzens,5,1468,IM,205
65,2004,Jerzens,6,6706,IM,205
66,2004,Jerzens,7,20528,IM,205
67,2004,Jerzens,8,24396,IM,205
68,2004,Jerzens,9,10083,IM,205
69,2004,Jerzens,10,3318,IM,205
70,2004,Jerzens,11,1615,IM,205
71,2004,Jerzens,12,20394,IM,205
72,2004,Karres,1,213,IM,206
73,2004,Karres,2,519,IM,206
74,2004,Karres,3,88,IM,206
