,year,city,month,overnight_stays,bezirk,nr
0,2018,Innsbruck,1,121475,I,70101
1,2018,Innsbruck,2,131806,I,70101
2,2018,Innsbruck,3,124347,I,70101
3,2018,Innsbruck,4,115726,I,70101
4,2018,Innsbruck,5,140468,I,70101
5,2018,Innsbruck,6,152873,I,70101
6,2018,Innsbruck,7,203611,I,70101
7,2018,Innsbruck,8,192608,I,70101
8,2018,Innsbruck,9,156387,I,70101
9,2018,Innsbruck,10,139187,I,70101
10,2018,Innsbruck,11,115279,I,70101
11,2018,Innsbruck,12,148994,I,70101
12,2018,Arzl im Pitztal,1,11890,IM,70201
13,2018,Arzl im Pitztal,2,18379,IM,70201
14,2018,Arzl im Pitztal,3,12696,IM,70201
15,2018,Arzl im Pitztal,4,5320,IM,70201
16,2018,Arzl im Pitztal,5,7544,IM,70201
17,2018,Arzl im Pitztal,6,7585,IM,70201
18,2018,Arzl im Pitztal,7,15173,IM,70201
19,2018,Arzl im Pitztal,8,15671,IM,70201
20,2018,Arzl im Pitztal,9,8810,IM,70201
21,2018,Arzl im Pitztal,10,7141,IM,70201
22,2018,Arzl im Pitztal,11,1363,IM,70201
23,2018,Arzl im Pitztal,12,8243,IM,70201
24,2018,Haiming,1,18594,IM,70202
25,2018,Haiming,2,22462,IM,70202
26,2018,Haiming,3,19740,IM,70202
27,2018,Haiming,4,6748,IM,70202
28,2018,Haiming,5,9253,IM,70202
29,2018,Haiming,6,13796,IM,70202
30,2018,Haiming,7,21318,IM,70202
31,2018,Haiming,8,19642,IM,70202
32,2018,Haiming,9,11677,IM,70202
33,2018,Haiming,10,4687,IM,70202
34,2018,Haiming,11,1158,IM,70202
35,2018,Haiming,12,9198,IM,70202
36,2018,Imst,1,18220,IM,70203
37,2018,Imst,2,23823,IM,70203
38,2018,Imst,3,15881,IM,70203
39,2018,Imst,4,10627,IM,70203
40,2018,Imst,5,20391,IM,70203
41,2018,Imst,6,21837,IM,70203
42,2018,Imst,7,37027,IM,70203
43,2018,Imst,8,38026,IM,70203
44,2018,Imst,9,23296,IM,70203
45,2018,Imst,10,17025,IM,70203
46,2018,Imst,11,8657,IM,70203
47,2018,Imst,12,15064,IM,70203
48,2018,Imsterberg,1,859,IM,70204
49,2018,Imsterberg,2,1302,IM,70204
50,2018,Imsterberg,3,938,IM,70204
51,2018,Imsterberg,4,665,IM,70204
52,2018,Imsterberg,5,697,IM,70204
53,2018,Imsterberg,6,954,IM,70204
54,2018,Imsterberg,7,1436,IM,70204
55,2018,Imsterberg,8,1499,IM,70204
56,2018,Imsterberg,9,797,IM,70204
57,2018,Imsterberg,10,441,IM,70204
58,2018,Imsterberg,11,355,IM,70204
59,2018,Imsterberg,12,736,IM,70204
60,2018,Jerzens,1,36066,IM,70205
61,2018,Jerzens,2,42834,IM,70205
62,2018,Jerzens,3,39918,IM,70205
63,2018,Jerzens,4,8582,IM,70205
64,2018,Jerzens,5,3218,IM,70205
65,2018,Jerzens,6,9526,IM,70205
66,2018,Jerzens,7,25407,IM,70205
67,2018,Jerzens,8,27980,IM,70205
68,2018,Jerzens,9,14210,IM,70205
69,2018,Jerzens,10,8017,IM,70205
70,2018,Jerzens,11,1189,IM,70205
71,2018,Jerzens,12,20095,IM,70205
72,2018,Karres,1,408,IM,70206
73,2018,Karres,2,733,IM,70206
74,2018,Karres,3,506,IM,70206
75,2018,Karres,4,196,IM,70206
76,2018,Karres,5,303,IM,70206
77,2018,Karres,6,616,IM,70206
78,2018,Karres,7,746,IM,70206
79,2018,Karres,8,766,IM,70206
80,2018,Karres,9,493,IM,70206
81,2018,Karres,10,54,IM,70206
82,2018,Karres,11,198,IM,70206
83,2018,Karres,12,359,IM,70206
84,2018,Karrösten,1,3107,IM,70207
85,2018,Karrösten,2,4056,IM,70207
86,2018,Karrösten,3,2934,IM,70207
87,2018,Karrösten,4,1996,IM,70207
88,2018,Karrösten,5,3449,IM,70207
89,2018,Karrösten,6,3522,IM,70207
90,2018,Karrösten,7,4918,IM,70207
91,2018,Karrösten,8,5097,IM,70207
92,2018,Karrösten,9,3464,IM,70207
93,2018,Karrösten,10,2498,IM,70207
94,2018,Karrösten,11,1019,IM,70207
95,2018,Karrösten,12,2843,IM,70207
96,2018,Längenfeld,1,84254,IM,70208
97,2018,Längenfeld,2,106889,IM,70208
98,2018,Längenfeld,3,99521,IM,70208
99,2018,Längenfeld,4,40633,IM,70208
100,2018,Längenfeld,5,22793,IM,70208
101,2018,Längenfeld,6,32647,IM,70208
102,2018,Längenfeld,7,86517,IM,70208
103,2018,Längenfeld,8,94142,IM,70208
104,2018,Längenfeld,9,38183,IM,70208
105,2018,Längenfeld,10,28459,IM,70208
106,2018,Längenfeld,11,25091,IM,70208
107,2018,Längenfeld,12,66039,IM,70208
108,2018,Mieming,1,10419,IM,70209
109,2018,Mieming,2,12896,IM,70209
110,2018,Mieming,3,10674,IM,70209
111,2018,Mieming,4,10802,IM,70209
112,2018,Mieming,5,10814,IM,70209
113,2018,Mieming,6,11270,IM,70209
114,2018,Mieming,7,19729,IM,70209
115,2018,Mieming,8,21215,IM,70209
116,2018,Mieming,9,15143,IM,70209
117,2018,Mieming,10,16952,IM,70209
118,2018,Mieming,11,9103,IM,70209
119,2018,Mieming,12,12312,IM,70209
120,2018,Mils bei Imst,1,460,IM,70210
121,2018,Mils bei Imst,2,504,IM,70210
122,2018,Mils bei Imst,3,488,IM,70210
123,2018,Mils bei Imst,4,369,IM,70210
124,2018,Mils bei Imst,5,356,IM,70210
125,2018,Mils bei Imst,6,407,IM,70210
126,2018,Mils bei Imst,7,451,IM,70210
127,2018,Mils bei Imst,8,427,IM,70210
128,2018,Mils bei Imst,9,402,IM,70210
129,2018,Mils bei Imst,10,371,IM,70210
130,2018,Mils bei Imst,11,309,IM,70210
131,2018,Mils bei Imst,12,403,IM,70210
132,2018,Mötz,1,22,IM,70211
133,2018,Mötz,2,0,IM,70211
134,2018,Mötz,3,0,IM,70211
135,2018,Mötz,4,85,IM,70211
136,2018,Mötz,5,42,IM,70211
137,2018,Mötz,6,45,IM,70211
138,2018,Mötz,7,177,IM,70211
139,2018,Mötz,8,101,IM,70211
140,2018,Mötz,9,12,IM,70211
141,2018,Mötz,10,4,IM,70211
142,2018,Mötz,11,2,IM,70211
143,2018,Mötz,12,49,IM,70211
144,2018,Nassereith,1,3654,IM,70212
145,2018,Nassereith,2,4666,IM,70212
146,2018,Nassereith,3,2928,IM,70212
147,2018,Nassereith,4,1798,IM,70212
148,2018,Nassereith,5,6059,IM,70212
149,2018,Nassereith,6,8397,IM,70212
150,2018,Nassereith,7,13936,IM,70212
151,2018,Nassereith,8,16718,IM,70212
152,2018,Nassereith,9,7529,IM,70212
153,2018,Nassereith,10,3097,IM,70212
154,2018,Nassereith,11,495,IM,70212
155,2018,Nassereith,12,2383,IM,70212
156,2018,Obsteig,1,13344,IM,70213
157,2018,Obsteig,2,16624,IM,70213
158,2018,Obsteig,3,12190,IM,70213
159,2018,Obsteig,4,6963,IM,70213
160,2018,Obsteig,5,11548,IM,70213
161,2018,Obsteig,6,11398,IM,70213
162,2018,Obsteig,7,18781,IM,70213
163,2018,Obsteig,8,19247,IM,70213
164,2018,Obsteig,9,14584,IM,70213
165,2018,Obsteig,10,13074,IM,70213
166,2018,Obsteig,11,7191,IM,70213
167,2018,Obsteig,12,10399,IM,70213
168,2018,Oetz,1,33316,IM,70214
169,2018,Oetz,2,47418,IM,70214
170,2018,Oetz,3,41334,IM,70214
171,2018,Oetz,4,13124,IM,70214
172,2018,Oetz,5,9493,IM,70214
173,2018,Oetz,6,18144,IM,70214
174,2018,Oetz,7,35747,IM,70214
175,2018,Oetz,8,36514,IM,70214
176,2018,Oetz,9,17756,IM,70214
177,2018,Oetz,10,5353,IM,70214
178,2018,Oetz,11,680,IM,70214
179,2018,Oetz,12,18089,IM,70214
180,2018,Rietz,1,477,IM,70215
181,2018,Rietz,2,753,IM,70215
182,2018,Rietz,3,624,IM,70215
183,2018,Rietz,4,576,IM,70215
184,2018,Rietz,5,716,IM,70215
185,2018,Rietz,6,730,IM,70215
186,2018,Rietz,7,1034,IM,70215
187,2018,Rietz,8,1106,IM,70215
188,2018,Rietz,9,802,IM,70215
189,2018,Rietz,10,523,IM,70215
190,2018,Rietz,11,499,IM,70215
191,2018,Rietz,12,609,IM,70215
192,2018,Roppen,1,269,IM,70216
193,2018,Roppen,2,778,IM,70216
194,2018,Roppen,3,349,IM,70216
195,2018,Roppen,4,880,IM,70216
196,2018,Roppen,5,7480,IM,70216
197,2018,Roppen,6,9460,IM,70216
198,2018,Roppen,7,10911,IM,70216
199,2018,Roppen,8,11139,IM,70216
200,2018,Roppen,9,7846,IM,70216
201,2018,Roppen,10,12,IM,70216
202,2018,Roppen,11,56,IM,70216
203,2018,Roppen,12,153,IM,70216
204,2018,St. Leonhard im Pitzta,1,58443,IM,70217
205,2018,St. Leonhard im Pitzta,2,80993,IM,70217
206,2018,St. Leonhard im Pitzta,3,76999,IM,70217
207,2018,St. Leonhard im Pitzta,4,31795,IM,70217
208,2018,St. Leonhard im Pitzta,5,2436,IM,70217
209,2018,St. Leonhard im Pitzta,6,12053,IM,70217
210,2018,St. Leonhard im Pitzta,7,55186,IM,70217
211,2018,St. Leonhard im Pitzta,8,58659,IM,70217
