,year,city,month,overnight_stays,bezirk,nr
0,2012,Innsbruck,1,143469,I,70101
1,2012,Innsbruck,2,108421,I,70101
2,2012,Innsbruck,3,96788,I,70101
3,2012,Innsbruck,4,89987,I,70101
4,2012,Innsbruck,5,112949,I,70101
5,2012,Innsbruck,6,118641,I,70101
6,2012,Innsbruck,7,160027,I,70101
7,2012,Innsbruck,8,156486,I,70101
8,2012,Innsbruck,9,127178,I,70101
9,2012,Innsbruck,10,109800,I,70101
10,2012,Innsbruck,11,96598,I,70101
11,2012,Innsbruck,12,120682,I,70101
12,2012,Arzl im Pitztal,1,13603,IM,70201
13,2012,Arzl im Pitztal,2,19830,IM,70201
14,2012,Arzl im Pitztal,3,9495,IM,70201
15,2012,Arzl im Pitztal,4,6761,IM,70201
16,2012,Arzl im Pitztal,5,4687,IM,70201
17,2012,Arzl im Pitztal,6,8886,IM,70201
18,2012,Arzl im Pitztal,7,15051,IM,70201
19,2012,Arzl im Pitztal,8,16440,IM,70201
20,2012,Arzl im Pitztal,9,8181,IM,70201
21,2012,Arzl im Pitztal,10,7343,IM,70201
22,2012,Arzl im Pitztal,11,1660,IM,70201
23,2012,Arzl im Pitztal,12,8204,IM,70201
24,2012,Haiming,1,10028,IM,70202
25,2012,Haiming,2,12158,IM,70202
26,2012,Haiming,3,7826,IM,70202
27,2012,Haiming,4,4601,IM,70202
28,2012,Haiming,5,3165,IM,70202
29,2012,Haiming,6,5958,IM,70202
30,2012,Haiming,7,10422,IM,70202
31,2012,Haiming,8,12311,IM,70202
32,2012,Haiming,9,6799,IM,70202
33,2012,Haiming,10,2264,IM,70202
34,2012,Haiming,11,560,IM,70202
35,2012,Haiming,12,7645,IM,70202
36,2012,Imst,1,21322,IM,70203
37,2012,Imst,2,26159,IM,70203
38,2012,Imst,3,14056,IM,70203
39,2012,Imst,4,9754,IM,70203
40,2012,Imst,5,11453,IM,70203
41,2012,Imst,6,16802,IM,70203
42,2012,Imst,7,31405,IM,70203
43,2012,Imst,8,33955,IM,70203
44,2012,Imst,9,21984,IM,70203
45,2012,Imst,10,16302,IM,70203
46,2012,Imst,11,6758,IM,70203
47,2012,Imst,12,15354,IM,70203
48,2012,Imsterberg,1,583,IM,70204
49,2012,Imsterberg,2,1357,IM,70204
50,2012,Imsterberg,3,492,IM,70204
51,2012,Imsterberg,4,601,IM,70204
52,2012,Imsterberg,5,542,IM,70204
53,2012,Imsterberg,6,953,IM,70204
54,2012,Imsterberg,7,1424,IM,70204
55,2012,Imsterberg,8,1654,IM,70204
56,2012,Imsterberg,9,841,IM,70204
57,2012,Imsterberg,10,224,IM,70204
58,2012,Imsterberg,11,221,IM,70204
59,2012,Imsterberg,12,763,IM,70204
60,2012,Jerzens,1,34775,IM,70205
61,2012,Jerzens,2,44610,IM,70205
62,2012,Jerzens,3,30888,IM,70205
63,2012,Jerzens,4,14980,IM,70205
64,2012,Jerzens,5,1611,IM,70205
65,2012,Jerzens,6,7761,IM,70205
66,2012,Jerzens,7,23653,IM,70205
67,2012,Jerzens,8,27371,IM,70205
68,2012,Jerzens,9,12137,IM,70205
69,2012,Jerzens,10,6948,IM,70205
70,2012,Jerzens,11,2066,IM,70205
71,2012,Jerzens,12,22883,IM,70205
72,2012,Karres,1,359,IM,70206
73,2012,Karres,2,580,IM,70206
74,2012,Karres,3,355,IM,70206
75,2012,Karres,4,196,IM,70206
76,2012,Karres,5,319,IM,70206
77,2012,Karres,6,540,IM,70206
78,2012,Karres,7,850,IM,70206
79,2012,Karres,8,784,IM,70206
80,2012,Karres,9,452,IM,70206
81,2012,Karres,10,196,IM,70206
82,2012,Karres,11,223,IM,70206
83,2012,Karres,12,395,IM,70206
84,2012,Karrösten,1,3605,IM,70207
85,2012,Karrösten,2,3683,IM,70207
86,2012,Karrösten,3,2382,IM,70207
87,2012,Karrösten,4,1912,IM,70207
88,2012,Karrösten,5,2459,IM,70207
89,2012,Karrösten,6,3003,IM,70207
90,2012,Karrösten,7,3577,IM,70207
91,2012,Karrösten,8,4278,IM,70207
92,2012,Karrösten,9,2641,IM,70207
93,2012,Karrösten,10,2310,IM,70207
94,2012,Karrösten,11,1014,IM,70207
95,2012,Karrösten,12,2496,IM,70207
96,2012,Längenfeld,1,87117,IM,70208
97,2012,Längenfeld,2,95530,IM,70208
98,2012,Längenfeld,3,82773,IM,70208
99,2012,Längenfeld,4,47792,IM,70208
100,2012,Längenfeld,5,15866,IM,70208
101,2012,Längenfeld,6,28150,IM,70208
102,2012,Längenfeld,7,70149,IM,70208
103,2012,Längenfeld,8,85807,IM,70208
104,2012,Längenfeld,9,38155,IM,70208
105,2012,Längenfeld,10,25464,IM,70208
106,2012,Längenfeld,11,18650,IM,70208
107,2012,Längenfeld,12,61347,IM,70208
108,2012,Mieming,1,10195,IM,70209
109,2012,Mieming,2,12727,IM,70209
110,2012,Mieming,3,8647,IM,70209
111,2012,Mieming,4,11851,IM,70209
112,2012,Mieming,5,11197,IM,70209
113,2012,Mieming,6,12185,IM,70209
114,2012,Mieming,7,17529,IM,70209
115,2012,Mieming,8,18400,IM,70209
116,2012,Mieming,9,13347,IM,70209
117,2012,Mieming,10,12456,IM,70209
118,2012,Mieming,11,7231,IM,70209
119,2012,Mieming,12,10301,IM,70209
120,2012,Mils bei Imst,1,507,IM,70210
121,2012,Mils bei Imst,2,533,IM,70210
122,2012,Mils bei Imst,3,461,IM,70210
123,2012,Mils bei Imst,4,338,IM,70210
124,2012,Mils bei Imst,5,375,IM,70210
125,2012,Mils bei Imst,6,312,IM,70210
126,2012,Mils bei Imst,7,447,IM,70210
127,2012,Mils bei Imst,8,465,IM,70210
128,2012,Mils bei Imst,9,330,IM,70210
129,2012,Mils bei Imst,10,330,IM,70210
130,2012,Mils bei Imst,11,329,IM,70210
131,2012,Mils bei Imst,12,353,IM,70210
132,2012,Mötz,1,60,IM,70211
133,2012,Mötz,2,237,IM,70211
134,2012,Mötz,3,14,IM,70211
135,2012,Mötz,4,20,IM,70211
136,2012,Mötz,5,126,IM,70211
137,2012,Mötz,6,176,IM,70211
138,2012,Mötz,7,186,IM,70211
139,2012,Mötz,8,238,IM,70211
140,2012,Mötz,9,146,IM,70211
141,2012,Mötz,10,46,IM,70211
142,2012,Mötz,11,48,IM,70211
143,2012,Mötz,12,106,IM,70211
144,2012,Nassereith,1,3064,IM,70212
145,2012,Nassereith,2,4035,IM,70212
146,2012,Nassereith,3,1539,IM,70212
147,2012,Nassereith,4,1379,IM,70212
148,2012,Nassereith,5,4023,IM,70212
149,2012,Nassereith,6,6893,IM,70212
150,2012,Nassereith,7,12774,IM,70212
151,2012,Nassereith,8,12774,IM,70212
152,2012,Nassereith,9,7538,IM,70212
153,2012,Nassereith,10,1923,IM,70212
154,2012,Nassereith,11,225,IM,70212
155,2012,Nassereith,12,2642,IM,70212
156,2012,Obsteig,1,9717,IM,70213
157,2012,Obsteig,2,12890,IM,70213
158,2012,Obsteig,3,4573,IM,70213
159,2012,Obsteig,4,3051,IM,70213
160,2012,Obsteig,5,5435,IM,70213
161,2012,Obsteig,6,8317,IM,70213
162,2012,Obsteig,7,13206,IM,70213
163,2012,Obsteig,8,14297,IM,70213
164,2012,Obsteig,9,9558,IM,70213
165,2012,Obsteig,10,7832,IM,70213
166,2012,Obsteig,11,1602,IM,70213
167,2012,Obsteig,12,6052,IM,70213
168,2012,Oetz,1,31968,IM,70214
169,2012,Oetz,2,42263,IM,70214
170,2012,Oetz,3,29993,IM,70214
171,2012,Oetz,4,15184,IM,70214
172,2012,Oetz,5,7805,IM,70214
173,2012,Oetz,6,15974,IM,70214
174,2012,Oetz,7,31791,IM,70214
175,2012,Oetz,8,36105,IM,70214
176,2012,Oetz,9,18183,IM,70214
177,2012,Oetz,10,6215,IM,70214
178,2012,Oetz,11,985,IM,70214
179,2012,Oetz,12,18685,IM,70214
180,2012,Rietz,1,401,IM,70215
181,2012,Rietz,2,525,IM,70215
182,2012,Rietz,3,644,IM,70215
183,2012,Rietz,4,580,IM,70215
184,2012,Rietz,5,561,IM,70215
185,2012,Rietz,6,718,IM,70215
186,2012,Rietz,7,811,IM,70215
187,2012,Rietz,8,809,IM,70215
188,2012,Rietz,9,682,IM,70215
189,2012,Rietz,10,413,IM,70215
190,2012,Rietz,11,473,IM,70215
191,2012,Rietz,12,305,IM,70215
192,2012,Roppen,1,650,IM,70216
193,2012,Roppen,2,1474,IM,70216
194,2012,Roppen,3,634,IM,70216
195,2012,Roppen,4,861,IM,70216
196,2012,Roppen,5,7088,IM,70216
197,2012,Roppen,6,8333,IM,70216
198,2012,Roppen,7,10134,IM,70216
199,2012,Roppen,8,9967,IM,70216
200,2012,Roppen,9,7462,IM,70216
201,2012,Roppen,10,854,IM,70216
202,2012,Roppen,11,86,IM,70216
203,2012,Roppen,12,256,IM,70216
204,2012,St.Leonhard/Pitztal,1,62644,IM,70217
205,2012,St.Leonhard/Pitztal,2,80532,IM,70217
206,2012,St.Leonhard/Pitztal,3,63320,IM,70217
207,2012,St.Leonhard/Pitztal,4,47767,IM,70217
208,2012,St.Leonhard/Pitztal,5,3883,IM,70217
209,2012,St.Leonhard/Pitztal,6,7146,IM,70217
210,2012,St.Leonhard/Pitztal,7,45334,IM,70217
211,2012,St.Leonhard/Pitztal,8,51884,IM,70217
212,2012,St.Leonhard/Pitztal,9,21907,IM,70217
213,2012,St.Leonhard/Pitztal,10,34078,IM,70217
214,2012,St.Leonhard/Pitztal,11,40010,IM,70217
215,2012,St.Leonhard/Pitztal,12,53260,IM,70217
216,2012,Sautens,1,11273,IM,70218
217,2012,Sautens,2,15079,IM,70218
218,2012,Sautens,3,9924,IM,70218
219,2012,Sautens,4,4658,IM,70218
220,2012,Sautens,5,4602,IM,70218
221,2012,Sautens,6,7373,IM,70218
