,year,city,month,overnight_stays,bezirk,nr
0,2013,Innsbruck,1,104829,I,70101
1,2013,Innsbruck,2,111876,I,70101
2,2013,Innsbruck,3,105405,I,70101
3,2013,Innsbruck,4,93736,I,70101
4,2013,Innsbruck,5,122426,I,70101
5,2013,Innsbruck,6,119011,I,70101
6,2013,Innsbruck,7,168746,I,70101
7,2013,Innsbruck,8,162757,I,70101
8,2013,Innsbruck,9,127703,I,70101
9,2013,Innsbruck,10,111497,I,70101
10,2013,Innsbruck,11,89018,I,70101
11,2013,Innsbruck,12,123005,I,70101
12,2013,Arzl im Pitztal,1,12678,IM,70201
13,2013,Arzl im Pitztal,2,18941,IM,70201
14,2013,Arzl im Pitztal,3,12079,IM,70201
15,2013,Arzl im Pitztal,4,3099,IM,70201
16,2013,Arzl im Pitztal,5,5133,IM,70201
17,2013,Arzl im Pitztal,6,8028,IM,70201
18,2013,Arzl im Pitztal,7,16042,IM,70201
19,2013,Arzl im Pitztal,8,16260,IM,70201
20,2013,Arzl im Pitztal,9,8033,IM,70201
21,2013,Arzl im Pitztal,10,6986,IM,70201
22,2013,Arzl im Pitztal,11,916,IM,70201
23,2013,Arzl im Pitztal,12,8404,IM,70201
24,2013,Haiming,1,13093,IM,70202
25,2013,Haiming,2,17935,IM,70202
26,2013,Haiming,3,14124,IM,70202
27,2013,Haiming,4,3340,IM,70202
28,2013,Haiming,5,5058,IM,70202
29,2013,Haiming,6,7825,IM,70202
30,2013,Haiming,7,15200,IM,70202
31,2013,Haiming,8,16410,IM,70202
32,2013,Haiming,9,7903,IM,70202
33,2013,Haiming,10,2958,IM,70202
34,2013,Haiming,11,486,IM,70202
35,2013,Haiming,12,9456,IM,70202
36,2013,Imst,1,21396,IM,70203
37,2013,Imst,2,27519,IM,70203
38,2013,Imst,3,17190,IM,70203
39,2013,Imst,4,6390,IM,70203
40,2013,Imst,5,14686,IM,70203
41,2013,Imst,6,19119,IM,70203
42,2013,Imst,7,33637,IM,70203
43,2013,Imst,8,34989,IM,70203
44,2013,Imst,9,19531,IM,70203
45,2013,Imst,10,16555,IM,70203
46,2013,Imst,11,6161,IM,70203
47,2013,Imst,12,14346,IM,70203
48,2013,Imsterberg,1,608,IM,70204
49,2013,Imsterberg,2,1460,IM,70204
50,2013,Imsterberg,3,888,IM,70204
51,2013,Imsterberg,4,473,IM,70204
52,2013,Imsterberg,5,629,IM,70204
53,2013,Imsterberg,6,834,IM,70204
54,2013,Imsterberg,7,1498,IM,70204
55,2013,Imsterberg,8,1796,IM,70204
56,2013,Imsterberg,9,469,IM,70204
57,2013,Imsterberg,10,577,IM,70204
58,2013,Imsterberg,11,133,IM,70204
59,2013,Imsterberg,12,685,IM,70204
60,2013,Jerzens,1,35869,IM,70205
61,2013,Jerzens,2,45127,IM,70205
62,2013,Jerzens,3,40008,IM,70205
63,2013,Jerzens,4,7363,IM,70205
64,2013,Jerzens,5,2132,IM,70205
65,2013,Jerzens,6,7334,IM,70205
66,2013,Jerzens,7,24250,IM,70205
67,2013,Jerzens,8,27776,IM,70205
68,2013,Jerzens,9,12524,IM,70205
69,2013,Jerzens,10,7334,IM,70205
70,2013,Jerzens,11,1139,IM,70205
71,2013,Jerzens,12,24491,IM,70205
72,2013,Karres,1,470,IM,70206
73,2013,Karres,2,672,IM,70206
