,year,city,month,overnight_stays,bezirk,nr
0,2014,Innsbruck,1,108186,I,70101
1,2014,Innsbruck,2,109992,I,70101
2,2014,Innsbruck,3,105631,I,70101
3,2014,Innsbruck,4,98759,I,70101
4,2014,Innsbruck,5,119209,I,70101
5,2014,Innsbruck,6,121760,I,70101
6,2014,Innsbruck,7,170615,I,70101
7,2014,Innsbruck,8,172661,I,70101
8,2014,Innsbruck,9,132621,I,70101
9,2014,Innsbruck,10,122312,I,70101
10,2014,Innsbruck,11,94917,I,70101
11,2014,Innsbruck,12,133211,I,70101
12,2014,Arzl im Pitztal,1,12437,IM,70201
13,2014,Arzl im Pitztal,2,15010,IM,70201
14,2014,Arzl im Pitztal,3,12272,IM,70201
15,2014,Arzl im Pitztal,4,6402,IM,70201
16,2014,Arzl im Pitztal,5,4472,IM,70201
17,2014,Arzl im Pitztal,6,10737,IM,70201
18,2014,Arzl im Pitztal,7,14646,IM,70201
19,2014,Arzl im Pitztal,8,16824,IM,70201
20,2014,Arzl im Pitztal,9,8937,IM,70201
21,2014,Arzl im Pitztal,10,7251,IM,70201
22,2014,Arzl im Pitztal,11,1065,IM,70201
23,2014,Arzl im Pitztal,12,9034,IM,70201
24,2014,Haiming,1,14004,IM,70202
25,2014,Haiming,2,15217,IM,70202
26,2014,Haiming,3,14149,IM,70202
27,2014,Haiming,4,6480,IM,70202
28,2014,Haiming,5,4624,IM,70202
29,2014,Haiming,6,9337,IM,70202
30,2014,Haiming,7,15754,IM,70202
31,2014,Haiming,8,16573,IM,70202
32,2014,Haiming,9,8318,IM,70202
33,2014,Haiming,10,2813,IM,70202
34,2014,Haiming,11,659,IM,70202
35,2014,Haiming,12,10220,IM,70202
36,2014,Imst,1,20149,IM,70203
37,2014,Imst,2,23291,IM,70203
38,2014,Imst,3,17442,IM,70203
39,2014,Imst,4,7504,IM,70203
40,2014,Imst,5,11882,IM,70203
41,2014,Imst,6,20960,IM,70203
42,2014,Imst,7,28378,IM,70203
43,2014,Imst,8,35349,IM,70203
44,2014,Imst,9,20285,IM,70203
45,2014,Imst,10,14934,IM,70203
46,2014,Imst,11,4970,IM,70203
47,2014,Imst,12,15195,IM,70203
48,2014,Imsterberg,1,691,IM,70204
49,2014,Imsterberg,2,830,IM,70204
50,2014,Imsterberg,3,950,IM,70204
51,2014,Imsterberg,4,452,IM,70204
52,2014,Imsterberg,5,400,IM,70204
53,2014,Imsterberg,6,713,IM,70204
54,2014,Imsterberg,7,1344,IM,70204
55,2014,Imsterberg,8,1667,IM,70204
56,2014,Imsterberg,9,618,IM,70204
57,2014,Imsterberg,10,549,IM,70204
58,2014,Imsterberg,11,183,IM,70204
59,2014,Imsterberg,12,775,IM,70204
60,2014,Jerzens,1,34744,IM,70205
61,2014,Jerzens,2,38003,IM,70205
62,2014,Jerzens,3,32957,IM,70205
63,2014,Jerzens,4,14339,IM,70205
64,2014,Jerzens,5,1125,IM,70205
65,2014,Jerzens,6,7466,IM,70205
66,2014,Jerzens,7,20716,IM,70205
67,2014,Jerzens,8,28177,IM,70205
68,2014,Jerzens,9,12445,IM,70205
